,020001.OF,090001.OF,121002.OF,100020.OF,160603.OF,161605.OF,233001.OF,288001.OF
2014-03-11,4.051,3.3041,2.9089,3.8747,3.235,2.373,1.9872,3.408
2014-03-12,4.057,3.3068,2.9079,3.8775,3.233,2.368,1.9848,3.408
2014-03-13,4.084,3.3143,2.9137,3.8878,3.241,2.386,1.9894,3.428
2014-03-14,4.085,3.3111,2.9109,3.8793,3.241,2.382,1.9863,3.424
2014-03-17,4.109,3.3186,2.9197,3.8844,3.252,2.407,1.9937,3.443
2014-03-18,4.115,3.317,2.9224,3.8853,3.256,2.413,1.9951,3.452
2014-03-19,4.104,3.3131,2.9158,3.8745,3.252,2.41,1.9904,3.441
2014-03-20,4.084,3.3039,2.9019,3.8572,3.236,2.375,1.9765,3.416
2014-03-21,4.089,3.3215,2.9081,3.8739,3.242,2.377,1.9828,3.416
2014-03-24,4.078,3.3245,2.909,3.8727,3.242,2.365,1.983,3.399
2014-03-25,4.073,3.3231,2.906,3.8673,3.244,2.365,1.983,3.399
2014-03-26,4.085,3.3229,2.9076,3.868,3.248,2.376,1.984,3.414
2014-03-27,4.061,3.3194,2.8982,3.8576,3.234,2.356,1.9771,3.391
2014-03-28,4.028,3.3162,2.886,3.8535,3.221,2.327,1.9686,3.36
2014-03-31,4.022,3.3157,2.887,3.8576,3.222,2.322,1.9653,3.358
2014-04-01,4.038,3.3221,2.8954,3.8708,3.233,2.341,1.9719,3.366
2014-04-02,4.03,3.3246,2.8935,3.8707,3.231,2.333,1.9722,3.351
2014-04-03,4.025,3.3207,2.8911,3.87,3.23,2.335,1.9698,3.349
2014-04-04,4.041,3.3261,2.8965,3.8808,3.24,2.344,1.9718,3.363
2014-04-08,4.043,3.3374,2.9052,3.8956,3.247,2.351,1.9765,3.369
2014-04-09,4.053,3.3388,2.9085,3.8952,3.254,2.368,1.9798,3.381
2014-04-10,4.081,3.3454,2.9119,3.8994,3.256,2.374,1.9855,3.391
2014-04-11,4.077,3.3456,2.9118,3.9011,3.254,2.362,1.9844,3.386
2014-04-14,4.066,3.3449,2.9148,3.8981,3.256,2.371,1.9866,3.391
2014-04-15,4.065,3.3363,2.9097,3.8892,3.254,2.37,1.9802,3.386
2014-04-16,4.055,3.3368,2.9093,3.8873,3.254,2.366,1.9783,3.384
2014-04-17,4.056,3.3346,2.9057,3.8871,3.256,2.365,1.9774,3.385
2014-04-18,4.057,3.3358,2.9074,3.8855,3.26,2.367,1.979,3.386
2014-04-21,4.037,3.3274,2.9002,3.8741,3.248,2.357,1.9752,3.378
2014-04-22,4.019,3.3283,2.8956,3.8751,3.245,2.342,1.973,3.366
2014-04-23,4.006,3.3277,2.8948,3.8781,3.243,2.338,1.9713,3.356
2014-04-24,3.995,3.3258,2.8923,3.8704,3.24,2.332,1.9691,3.35
2014-04-25,3.982,3.3184,2.8815,3.8577,3.229,2.315,1.9618,3.331
2014-04-28,3.966,3.3074,2.8667,3.843,3.213,2.286,1.9529,3.31
2014-04-29,3.98,3.3145,2.8721,3.8475,3.221,2.29,1.9587,3.322
2014-04-30,3.99,3.317,2.8775,3.8484,3.229,2.295,1.9637,3.332
2014-05-05,4.005,3.3182,2.8803,3.8518,3.234,2.305,1.9657,3.342
2014-05-06,4.013,3.3186,2.8847,3.8554,3.235,2.314,1.9688,3.349
2014-05-07,3.998,3.3122,2.878,3.8494,3.225,2.302,1.9625,3.332
2014-05-08,3.999,3.3122,2.8763,3.8479,3.224,2.299,1.9606,3.325
2014-05-09,3.975,3.31,2.8734,3.8418,3.216,2.283,1.9583,3.314
2014-05-12,3.992,3.3189,2.8776,3.8515,3.225,2.291,1.9626,3.324
2014-05-13,3.986,3.3189,2.8778,3.8533,3.223,2.294,1.9621,3.329
2014-05-14,3.994,3.3194,2.8785,3.8554,3.221,2.294,1.9618,3.326
2014-05-15,3.977,3.3115,2.8738,3.8459,3.217,2.284,1.9551,3.314
2014-05-16,3.974,3.311,2.8715,3.8433,3.213,2.277,1.9508,3.303
2014-05-19,3.96,3.3051,2.8691,3.8349,3.21,2.275,1.9466,3.295
2014-05-20,3.975,3.3063,2.8704,3.8344,3.212,2.279,1.9479,3.3
2014-05-21,3.98,3.3114,2.873,3.842,3.217,2.284,1.9502,3.308
2014-05-22,3.988,3.3123,2.8752,3.8418,3.217,2.288,1.9512,3.318
2014-05-23,3.999,3.3183,2.8775,3.8481,3.22,2.297,1.9572,3.333
2014-05-26,4.03,3.3223,2.8817,3.852,3.226,2.304,1.9631,3.345
2014-05-27,4.028,3.3203,2.8798,3.8487,3.223,2.296,1.961,3.341
2014-05-28,4.042,3.3272,2.882,3.859,3.231,2.309,1.9672,3.361
2014-05-29,4.021,3.3234,2.8799,3.8523,3.226,2.306,1.9629,3.352
2014-05-30,4.023,3.3239,2.8791,3.8551,3.228,2.309,1.9622,3.351
2014-06-03,4.029,3.3226,2.8752,3.8554,3.225,2.306,1.9636,3.347
2014-06-04,4.02,3.3174,2.8723,3.8464,3.223,2.3,1.9612,3.338
2014-06-05,4.038,3.3235,2.8765,3.8563,3.231,2.313,1.9678,3.355
2014-06-06,4.038,3.3213,2.8738,3.8532,3.227,2.311,1.9671,3.351
2014-06-09,4.029,3.3204,2.8739,3.851,3.224,2.305,1.9644,3.343
2014-06-10,4.048,3.3271,2.8785,3.8607,3.23,2.315,1.9703,3.358
2014-06-11,4.052,3.329,2.8798,3.8649,3.233,2.323,1.9729,3.366
2014-06-12,4.049,3.3278,2.8824,3.8666,3.232,2.324,1.9711,3.365
2014-06-13,4.065,3.335,2.8869,3.876,3.24,2.332,1.9734,3.377
2014-06-16,4.069,3.3381,2.8893,3.8777,3.241,2.338,1.9804,3.381
2014-06-17,4.048,3.3315,2.8834,3.8729,3.234,2.33,1.9775,3.373
2014-06-18,4.042,3.3282,2.8798,3.8642,3.231,2.323,1.9747,3.364
2014-06-19,4.017,3.3188,2.8709,3.8506,3.218,2.305,1.9643,3.344
2014-06-20,4.026,3.323,2.8724,3.8576,3.222,2.307,1.9699,3.351
2014-06-23,4.037,3.3239,2.8735,3.8671,3.228,2.316,1.974,3.362
2014-06-24,4.044,3.3273,2.876,3.8731,3.233,2.318,1.9769,3.366
2014-06-25,4.036,3.3251,2.876,3.8692,3.231,2.314,1.9742,3.359
2014-06-26,4.051,3.3308,2.8801,3.8748,3.238,2.324,1.9793,3.372
2014-06-27,4.058,3.3329,2.8809,3.8742,3.239,2.325,1.9811,3.371
2014-06-30,4.069,3.3376,2.8845,3.8809,3.245,2.337,1.986,3.378
2014-07-01,4.072,3.3366,2.8847,3.8831,3.246,2.34,1.9869,3.382
2014-07-02,4.084,3.3388,2.8869,3.8847,3.246,2.348,1.9888,3.386
2014-07-03,4.091,3.341,2.8938,3.8953,3.254,2.348,1.9936,3.39
2014-07-04,4.08,3.3417,2.8956,3.8943,3.253,2.344,1.9949,3.388
2014-07-07,4.072,3.3423,2.8937,3.8861,3.252,2.336,1.9941,3.378
2014-07-08,4.085,3.3436,2.8959,3.8892,3.255,2.336,1.9963,3.384
2014-07-09,4.081,3.3357,2.8891,3.8748,3.246,2.329,1.9891,3.368
2014-07-10,4.084,3.3348,2.8882,3.8669,3.245,2.326,1.9881,3.363
2014-07-11,4.082,3.3371,2.8933,3.8729,3.25,2.326,1.9899,3.361
2014-07-14,4.092,3.3448,2.8993,3.8877,3.255,2.332,1.9936,3.374
2014-07-15,4.08,3.3455,2.9001,3.8823,3.25,2.325,1.9922,3.366
2014-07-16,4.057,3.3427,2.8946,3.8768,3.244,2.323,1.986,3.354
2014-07-17,4.051,3.3394,2.8916,3.8702,3.241,2.319,1.9855,3.343
2014-07-18,4.055,3.3422,2.8949,3.8748,3.241,2.318,1.9857,3.342
2014-07-21,4.055,3.3419,2.8986,3.8735,3.242,2.317,1.9864,3.344
2014-07-22,4.078,3.3471,2.9064,3.886,3.249,2.325,1.9907,3.358
2014-07-23,4.054,3.3459,2.9069,3.8857,3.242,2.326,1.985,3.346
2014-07-24,4.038,3.3521,2.9152,3.8921,3.24,2.321,1.9825,3.34
2014-07-25,4.048,3.3572,2.9188,3.897,3.244,2.327,1.9855,3.346
2014-07-28,4.067,3.3697,2.9333,3.909,3.255,2.333,1.9924,3.361
2014-07-29,4.082,3.3725,2.9356,3.9115,3.258,2.338,1.9947,3.378
2014-07-30,4.088,3.3719,2.9391,3.9125,3.258,2.336,1.997,3.384
2014-07-31,4.097,3.3778,2.9478,3.9189,3.267,2.341,1.9986,3.385
2014-08-01,4.085,3.3731,2.9406,3.9108,3.265,2.34,1.9951,3.38
2014-08-04,4.095,3.3823,2.9546,3.9258,3.27,2.349,2.0025,3.387
2014-08-05,4.099,3.3821,2.9518,3.9257,3.274,2.351,2.0031,3.391
2014-08-06,4.11,3.3796,2.953,3.9287,3.272,2.359,2.0034,3.393
2014-08-07,4.113,3.3725,2.9464,3.9204,3.267,2.36,2.0006,3.385
2014-08-08,4.111,3.3751,2.9491,3.9284,3.271,2.365,2.0008,3.393
2014-08-11,4.123,3.3832,2.9601,3.9395,3.279,2.378,2.0074,3.405
2014-08-12,4.129,3.3829,2.9612,3.9418,3.281,2.379,2.0087,3.405
2014-08-13,4.129,3.3837,2.9608,3.944,3.283,2.374,2.0086,3.399
2014-08-14,4.125,3.3802,2.9547,3.9371,3.28,2.368,2.0067,3.398
2014-08-15,4.13,3.3852,2.9605,3.9459,3.287,2.379,2.011,3.403
2014-08-18,4.139,3.3901,2.9674,3.9502,3.296,2.394,2.0179,3.416
2014-08-19,4.145,3.39,2.9687,3.9513,3.296,2.396,2.0201,3.422
2014-08-20,4.14,3.388,2.9642,3.9526,3.294,2.393,2.023,3.418
2014-08-21,4.14,3.3859,2.9598,3.9496,3.298,2.392,2.0246,3.419
2014-08-22,4.145,3.3893,2.9616,3.9532,3.302,2.398,2.0261,3.423
2014-08-25,4.137,3.3845,2.9552,3.9478,3.301,2.39,2.0233,3.415
2014-08-26,4.121,3.3784,2.9454,3.938,3.291,2.381,2.016,3.396
2014-08-27,4.126,3.3802,2.9459,3.939,3.293,2.382,2.0205,3.401
2014-08-28,4.113,3.3748,2.9416,3.9344,3.29,2.376,2.0164,3.397
2014-08-29,4.121,3.3814,2.951,3.9441,3.298,2.386,2.0238,3.406
2014-09-01,4.141,3.3871,2.9575,3.9514,3.309,2.396,2.0332,3.422
2014-09-02,4.149,3.3931,2.9636,3.96,3.317,2.41,2.0408,3.433
2014-09-03,4.158,3.3966,2.968,3.9668,3.326,2.415,2.0442,3.444
2014-09-04,4.161,3.4002,2.9758,3.972,3.331,2.422,2.0475,3.451
2014-09-05,4.157,3.4038,2.9851,3.9771,3.339,2.424,2.05,3.452
2014-09-09,4.167,3.4052,2.9877,3.9756,3.342,2.427,2.0509,3.457
2014-09-10,4.171,3.4027,2.9851,3.9754,3.341,2.428,2.0524,3.456
2014-09-11,4.176,3.4013,2.9816,3.9726,3.338,2.434,2.0478,3.454
2014-09-12,4.178,3.4052,2.9888,3.9812,3.34,2.449,2.0554,3.459
2014-09-15,4.182,3.4063,2.997,3.981,3.343,2.461,2.063,3.465
2014-09-16,4.139,3.3938,2.9707,3.9571,3.326,2.436,2.0455,3.435
2014-09-17,4.133,3.3962,2.9776,3.9629,3.328,2.444,2.0504,3.438
2014-09-18,4.141,3.4006,2.9821,3.9687,3.334,2.446,2.0538,3.442
2014-09-19,4.155,3.4064,2.9897,3.9783,3.342,2.448,2.0575,3.45
2014-09-22,4.139,3.3975,2.9802,3.9663,3.337,2.438,2.053,3.434
2014-09-23,4.145,3.4025,2.9853,3.9762,3.344,2.449,2.0636,3.442
2014-09-24,4.157,3.4108,2.9947,3.9855,3.355,2.458,2.0715,3.451
2014-09-25,4.158,3.4086,2.9922,3.9845,3.355,2.455,2.0691,3.45
2014-09-26,4.163,3.4096,2.992,3.9867,3.355,2.456,2.0736,3.454
2014-09-29,4.176,3.413,3.0006,4,3.361,2.462,2.0783,3.464
2014-09-30,4.177,3.4151,2.996,4.0132,3.364,2.472,2.0863,3.471
2014-10-08,4.188,3.4243,3.005,4.027,3.37,2.483,2.0886,3.479
2014-10-09,4.203,3.4253,3.0054,4.0297,3.371,2.477,2.0901,3.487
2014-10-10,4.195,3.4211,2.9988,4.0213,3.366,2.473,2.089,3.48
2014-10-13,4.19,3.4197,2.9977,4.0165,3.358,2.465,2.0902,3.472
2014-10-14,4.18,3.4166,2.9997,4.0167,3.354,2.461,2.0882,3.473
2014-10-15,4.184,3.4199,3.0025,4.0264,3.356,2.466,2.0889,3.479
2014-10-16,4.16,3.4163,2.992,4.0137,3.343,2.456,2.0815,3.462
2014-10-17,4.155,3.4138,2.9876,4.009,3.338,2.457,2.0731,3.448
2014-10-20,4.175,3.419,2.9922,4.0225,3.345,2.468,2.0831,3.462
2014-10-21,4.159,3.4139,2.986,4.0155,3.343,2.459,2.082,3.454
2014-10-22,4.149,3.4103,2.9795,3.9992,3.335,2.452,2.0784,3.446
2014-10-23,4.129,3.4046,2.9714,3.9874,3.328,2.436,2.068,3.433
2014-10-24,4.134,3.405,2.9722,3.9961,3.33,2.439,2.0715,3.431
2014-10-27,4.143,3.4035,2.9725,4.0047,3.338,2.443,2.0773,3.439
2014-10-28,4.165,3.4147,2.9802,4.0255,3.351,2.457,2.0936,3.457
2014-10-29,4.176,3.4232,2.9863,4.0314,3.358,2.462,2.1,3.465
2014-10-30,4.17,3.4248,2.9876,4.0305,3.358,2.462,2.1039,3.464
2014-10-31,4.166,3.43,2.9925,4.029,3.358,2.459,2.0998,3.459
2014-11-03,4.175,3.432,2.9939,4.0289,3.361,2.462,2.1055,3.464
2014-11-04,4.16,3.4312,2.9905,4.0185,3.359,2.458,2.1019,3.464
2014-11-05,4.155,3.4318,2.9917,4.0214,3.36,2.455,2.1009,3.459
2014-11-06,4.164,3.4328,2.991,4.0285,3.366,2.461,2.1069,3.466
2014-11-07,4.161,3.4309,2.9908,4.0294,3.362,2.457,2.1022,3.463
2014-11-10,4.172,3.4426,3.001,4.0333,3.367,2.47,2.1049,3.469
2014-11-11,4.148,3.4329,2.997,4.0077,3.35,2.458,2.0876,3.45
2014-11-12,4.159,3.4409,3.0014,4.0167,3.358,2.473,2.0949,3.459
2014-11-13,4.137,3.4357,2.9996,3.9991,3.347,2.462,2.0865,3.442
2014-11-14,4.135,3.4337,2.998,4.0016,3.348,2.456,2.0849,3.435
2014-11-17,4.143,3.4356,2.9975,4.0091,3.356,2.455,2.0921,3.444
2014-11-18,4.143,3.4322,2.9939,4.0062,3.359,2.448,2.0896,3.445
2014-11-19,4.148,3.4333,2.9946,4.0134,3.361,2.45,2.0928,3.449
2014-11-20,4.141,3.4339,2.9938,4.0114,3.359,2.45,2.0928,3.443
2014-11-21,4.159,3.4418,2.9978,4.0224,3.368,2.469,2.102,3.453
2014-11-24,4.165,3.4508,3.0042,4.0363,3.374,2.493,2.11,3.459
2014-11-25,4.179,3.459,3.0121,4.0474,3.384,2.512,2.1161,3.472
2014-11-26,4.186,3.467,3.0213,4.0562,3.39,2.54,2.1301,3.478
2014-11-27,4.207,3.4697,3.0274,4.0664,3.395,2.559,2.1364,3.48
2014-11-28,4.2,3.4781,3.0442,4.0718,3.395,2.587,2.1329,3.48
2014-12-01,4.184,3.4776,3.0414,4.0767,3.387,2.58,2.1292,3.464
2014-12-02,4.208,3.4938,3.0621,4.0989,3.401,2.626,2.1337,3.476
2014-12-03,4.219,3.4994,3.0667,4.1127,3.415,2.625,2.139,3.477
2014-12-04,4.25,3.5204,3.0865,4.1494,3.439,2.676,2.1467,3.498
2014-12-05,4.233,3.5104,3.0779,4.1299,3.427,2.688,2.1259,3.485
2014-12-08,4.254,3.5319,3.0892,4.1362,3.447,2.702,2.1247,3.487
2014-12-09,4.207,3.4899,3.0506,4.098,3.413,2.647,2.0977,3.444
2014-12-10,4.245,3.5164,3.0784,4.1292,3.442,2.671,2.1169,3.474
2014-12-11,4.244,3.5133,3.0775,4.1317,3.44,2.672,2.1211,3.479
2014-12-12,4.253,3.5143,3.0764,4.1449,3.446,2.677,2.1227,3.485
2014-12-15,4.273,3.5226,3.0798,4.1697,3.448,2.696,2.1256,3.496
2014-12-16,4.266,3.5316,3.0849,4.1651,3.457,2.708,2.1283,3.498
2014-12-17,4.246,3.5368,3.083,4.1624,3.456,2.727,2.1215,3.494
2014-12-18,4.243,3.5422,3.0826,4.1518,3.455,2.7,2.119,3.489
2014-12-19,4.237,3.5401,3.0854,4.1369,3.449,2.696,2.1135,3.473
2014-12-22,4.206,3.5328,3.067,4.0953,3.436,2.683,2.1021,3.449
2014-12-23,4.197,3.5233,3.0495,4.0812,3.429,2.661,2.0945,3.434
2014-12-24,4.19,3.5106,3.0436,4.0914,3.426,2.637,2.0965,3.434
2014-12-25,4.212,3.5274,3.059,4.1078,3.438,2.665,2.105,3.452
2014-12-26,4.218,3.5436,3.0686,4.127,3.453,2.701,2.1103,3.462
2014-12-29,4.203,3.5433,3.0667,4.1093,3.449,2.695,2.1069,3.444
2014-12-30,4.179,3.5423,3.0614,4.0835,3.443,2.702,2.1002,3.433
2014-12-31,4.199,3.5535,3.0724,4.1001,3.459,2.716,2.1105,3.443
2015-01-05,4.216,3.5775,3.0864,4.1148,3.473,2.731,2.1162,3.465
2015-01-06,4.238,3.5908,3.0966,4.1363,3.479,2.735,2.12,3.479
2015-01-07,4.248,3.588,3.0899,4.1321,3.475,2.738,2.1193,3.477
2015-01-08,4.241,3.5809,3.0757,4.1454,3.462,2.714,2.1141,3.47
2015-01-09,4.251,3.5798,3.0754,4.1446,3.462,2.717,2.1137,3.471
2015-01-12,4.253,3.5805,3.0718,4.1599,3.459,2.718,2.1117,3.475
2015-01-13,4.263,3.5918,3.0748,4.1724,3.462,2.72,2.116,3.487
2015-01-14,4.264,3.5839,3.0707,4.1646,3.458,2.72,2.1171,3.484
2015-01-15,4.274,3.6006,3.0843,4.1693,3.468,2.755,2.1189,3.493
2015-01-16,4.295,3.6051,3.0887,4.1987,3.473,2.762,2.1197,3.507
2015-01-19,4.256,3.5612,3.0457,4.1453,3.444,2.686,2.1,3.474
2015-01-20,4.293,3.5833,3.0645,4.1913,3.463,2.698,2.1126,3.511
2015-01-21,4.332,3.6098,3.0929,4.2193,3.486,2.739,2.1262,3.532
2015-01-22,4.338,3.6116,3.0989,4.2331,3.498,2.745,2.1325,3.541
2015-01-23,4.319,3.6084,3.0952,4.2098,3.489,2.747,2.1273,3.525
2015-01-26,4.331,3.6157,3.1059,4.2388,3.498,2.749,2.1343,3.554
2015-01-27,4.329,3.6146,3.1014,4.2438,3.492,2.738,2.1393,3.56
2015-01-28,4.316,3.6042,3.0926,4.2353,3.485,2.728,2.1395,3.544
2015-01-29,4.3,3.5929,3.0854,4.2236,3.475,2.717,2.1351,3.559
2015-01-30,4.292,3.5868,3.0847,4.2062,3.466,2.711,2.1324,3.545
2015-02-02,4.277,3.5771,3.0777,4.1981,3.462,2.698,2.1261,3.542
2015-02-03,4.3,3.5931,3.086,4.2313,3.472,2.712,2.1354,3.563
2015-02-04,4.292,3.5867,3.0857,4.2242,3.468,2.708,2.1289,3.571
2015-02-05,4.28,3.5809,3.0789,4.2279,3.465,2.705,2.1288,3.561
2015-02-06,4.254,3.5725,3.0637,4.2129,3.452,2.682,2.1234,3.535
2015-02-09,4.256,3.5746,3.0635,4.2056,3.445,2.679,2.1155,3.522
2015-02-10,4.28,3.5864,3.0754,4.228,3.457,2.69,2.1243,3.531
2015-02-11,4.293,3.5924,3.0885,4.2543,3.465,2.701,2.1319,3.555
2015-02-12,4.3,3.5939,3.0949,4.26,3.474,2.702,2.1405,3.56
2015-02-13,4.317,3.6017,3.1076,4.2744,3.484,2.719,2.1461,3.577
2015-02-16,4.334,3.612,3.1202,4.2934,3.504,2.733,2.1549,3.607
2015-02-17,4.336,3.6217,3.1192,4.2973,3.508,2.742,2.1554,3.608
2015-02-25,4.332,3.6179,3.1126,4.2829,3.507,2.721,2.1541,3.597
2015-02-26,4.343,3.6307,3.1209,4.2899,3.51,2.738,2.1582,3.591
2015-02-27,4.356,3.6365,3.1318,4.2935,3.522,2.747,2.16,3.598
2015-03-02,4.379,3.6499,3.1462,4.3255,3.543,2.76,2.1669,3.634
2015-03-03,4.372,3.6331,3.1378,4.3057,3.535,2.741,2.1579,3.639
2015-03-04,4.4,3.6414,3.1504,4.315,3.554,2.743,2.1625,3.649
2015-03-05,4.39,3.6334,3.1478,4.3109,3.557,2.741,2.1684,3.657
2015-03-06,4.363,3.6243,3.1421,4.2901,3.54,2.724,2.1624,3.631
2015-03-09,4.392,3.6412,3.1604,4.3033,3.56,2.733,2.1708,3.648
2015-03-10,4.409,3.6437,3.1651,4.3229,3.575,2.733,2.179,3.656
2015-03-11,4.407,3.6474,3.1622,4.3282,3.575,2.738,2.1838,3.649
2015-03-12,4.401,3.6532,3.1642,4.3133,3.572,2.748,2.1761,3.638
2015-03-13,4.428,3.6637,3.1727,4.3199,3.594,2.755,2.1898,3.651
2015-03-16,4.468,3.6892,3.1948,4.3636,3.631,2.782,2.2047,3.681
2015-03-17,4.467,3.6977,3.2022,4.3739,3.635,2.797,2.2071,3.698
2015-03-18,4.505,3.715,3.218,4.392,3.642,2.817,2.2135,3.737
2015-03-19,4.497,3.7175,3.2212,4.4038,3.643,2.825,2.2139,3.752
2015-03-20,4.507,3.7236,3.2393,4.4217,3.656,2.852,2.2207,3.769
2015-03-23,4.548,3.7442,3.2596,4.4605,3.689,2.882,2.2376,3.808
2015-03-24,4.567,3.7482,3.2587,4.4779,3.687,2.894,2.2371,3.825
2015-03-25,4.599,3.7528,3.2573,4.4813,3.692,2.893,2.2439,3.838
2015-03-26,4.546,3.7501,3.2487,4.4565,3.673,2.879,2.232,3.81
2015-03-27,4.573,3.7548,3.259,4.4692,3.675,2.895,2.2446,3.837
2015-03-30,4.569,3.7717,3.2731,4.483,3.679,2.911,2.2468,3.828
2015-03-31,4.572,3.7721,3.271,4.4905,3.694,2.915,2.2502,3.835
2015-04-01,4.615,3.7916,3.2941,4.5286,3.732,2.953,2.2665,3.874
2015-04-02,4.648,3.8027,3.3036,4.5463,3.752,2.979,2.2816,3.915
2015-04-03,4.681,3.8205,3.3193,4.5601,3.78,3.01,2.3035,3.937
2015-04-07,4.71,3.8428,3.341,4.5884,3.802,3.034,2.3262,3.957
2015-04-08,4.688,3.8364,3.3352,4.5832,3.789,3.024,2.332,3.915
2015-04-09,4.659,3.8201,3.3189,4.5974,3.778,3.018,2.3258,3.881
2015-04-10,4.7,3.8549,3.3461,4.6389,3.811,3.053,2.3451,3.921
2015-04-13,4.713,3.8728,3.3682,4.6627,3.841,3.074,2.3577,3.914
2015-04-14,4.714,3.8663,3.3635,4.6572,3.848,3.066,2.3536,3.909
2015-04-15,4.643,3.8418,3.3239,4.6058,3.802,3.02,2.3315,3.888
2015-04-16,4.658,3.8678,3.3436,4.6417,3.823,3.037,2.3414,3.9
2015-04-17,4.66,3.8731,3.3433,4.6465,3.806,3.039,2.3422,3.898
2015-04-20,4.634,3.8406,3.3151,4.6157,3.761,2.993,2.3221,3.861
2015-04-21,4.689,3.8767,3.3501,4.6647,3.802,3.036,2.3494,3.912
2015-04-22,4.72,3.9049,3.3699,4.7043,3.829,3.064,2.3694,3.959
2015-04-23,4.731,3.9006,3.3731,4.7167,3.844,3.061,2.3698,3.979
2015-04-24,4.724,3.891,3.3711,4.7096,3.843,3.053,2.3653,3.991
2015-04-27,4.728,3.9024,3.3807,4.7159,3.846,3.064,2.3648,3.98
2015-04-28,4.663,3.883,3.346,4.6703,3.808,3.029,2.3374,3.924
2015-04-29,4.683,3.8965,3.362,4.7046,3.822,3.053,2.3488,3.971
2015-04-30,4.696,3.9024,3.3712,4.7226,3.82,3.069,2.3429,3.992
2015-05-04,4.687,3.9044,3.3847,4.7349,3.822,3.066,2.341,4.011
2015-05-05,4.647,3.8626,3.3565,4.6704,3.794,3.029,2.3314,3.977
2015-05-06,4.646,3.8609,3.3554,4.6672,3.791,3.026,2.3344,3.973
2015-05-07,4.64,3.8561,3.3458,4.6654,3.783,3.004,2.3268,3.948
2015-05-08,4.707,3.8874,3.3877,4.7115,3.832,3.049,2.3578,4.009
2015-05-11,4.777,3.918,3.4236,4.7655,3.886,3.108,2.3785,4.079
2015-05-12,4.815,3.9363,3.4312,4.7878,3.911,3.132,2.394,4.111
2015-05-13,4.823,3.9331,3.433,4.7904,3.925,3.16,2.3859,4.109
2015-05-14,4.847,3.9311,3.4368,4.7933,3.926,3.16,2.3916,4.103
2015-05-15,4.839,3.9274,3.4392,4.7747,3.928,3.149,2.3939,4.082
2015-05-18,4.868,3.9462,3.4634,4.8103,3.973,3.182,2.4136,4.142
2015-05-19,4.899,3.9691,3.4871,4.8413,3.997,3.2,2.4372,4.174
2015-05-20,4.936,3.9863,3.5088,4.8679,4.031,3.23,2.4592,4.256
2015-05-21,5.021,4.015,3.5426,4.9135,4.087,3.273,2.4921,4.331
2015-05-22,5.047,4.0349,3.5533,4.936,4.087,3.281,2.4941,4.329
2015-05-25,5.059,4.0562,3.5836,4.9954,4.116,3.31,2.5091,4.355
2015-05-26,5.134,4.0988,3.6289,5.0461,4.164,3.336,2.5404,4.418
2015-05-27,5.163,4.0952,3.6314,5.0685,4.17,3.34,2.5596,4.452
2015-05-28,5.044,4.017,3.5544,4.9651,4.096,3.272,2.5166,4.367
2015-05-29,5.063,4.0211,3.5824,4.999,4.127,3.269,2.5382,4.401
2015-06-01,5.157,4.0743,3.6405,5.091,4.208,3.327,2.5843,4.5
2015-06-02,5.25,4.1118,3.6927,5.1472,4.287,3.382,2.6114,4.576
2015-06-03,5.249,4.1237,3.7054,5.1373,4.284,3.387,2.627,4.583
2015-06-04,5.227,4.1174,3.6985,5.1584,4.285,3.378,2.6048,4.556
2015-06-05,5.233,4.1347,3.7106,5.16,4.296,3.383,2.6037,4.568
2015-06-08,5.171,4.1435,3.6835,5.1211,4.265,3.372,2.5942,4.515
2015-06-09,5.17,4.1282,3.676,5.0993,4.256,3.363,2.5905,4.489
2015-06-10,5.234,4.1418,3.703,5.1303,4.283,3.374,2.6061,4.519
2015-06-11,5.284,4.1592,3.7305,5.1406,4.304,3.389,2.6221,4.531
2015-06-12,5.34,4.176,3.7517,5.1545,4.328,3.408,2.6383,4.556
2015-06-15,5.277,4.1534,3.7314,5.0784,4.314,3.386,2.6197,4.499
2015-06-16,5.191,4.1153,3.6733,5.0135,4.25,3.327,2.5794,4.412
2015-06-17,5.225,4.1492,3.6975,5.046,4.27,3.35,2.6057,4.451
2015-06-18,5.126,4.0965,3.6504,4.9737,4.217,3.295,2.5714,4.418
2015-06-19,5.006,4.0294,3.5767,4.8839,4.116,3.198,2.5138,4.325
2015-06-23,5.023,4.0597,3.5814,4.9147,4.095,3.196,2.5231,4.309
2015-06-24,5.056,4.0887,3.6065,4.9425,4.106,3.213,2.5386,4.331
2015-06-25,4.977,4.058,3.5681,4.8621,4.044,3.161,2.5028,4.254
2015-06-26,4.827,3.9696,3.4965,4.7256,3.934,3.061,2.4158,4.126
2015-06-29,4.707,3.9209,3.4503,4.6173,3.845,2.998,2.3552,4.021
2015-06-30,4.8,3.9694,3.5,4.7124,3.901,3.051,2.4079,4.063
2015-07-01,4.692,3.9128,3.4483,4.6354,3.851,2.999,2.3568,3.974
2015-07-02,4.587,3.8598,3.3764,4.5271,3.784,2.945,2.3114,3.887
2015-07-03,4.509,3.7962,3.3209,4.4554,3.735,2.907,2.2714,3.822
2015-07-06,4.477,3.7779,3.2895,4.4201,3.7,2.891,2.2764,3.773
2015-07-07,4.383,3.7263,3.2412,4.3511,3.641,2.857,2.2349,3.723
2015-07-08,4.337,3.672,3.2111,4.2915,3.61,2.836,2.2032,3.699
